STATION         DATE                                    QPCP                              
------------    ----------------------------------      ----                              
PHILADELPHIA      2004  1     1     01    0
PHILADELPHIA      2004  1     2     08    0.02
PHILADELPHIA      2004  1     2     09    0
PHILADELPHIA      2004  1     2     23    0
PHILADELPHIA      2004  1     3     00    0
PHILADELPHIA      2004  1     4     07    0
PHILADELPHIA      2004  1     4     08    0.01
PHILADELPHIA      2004  1     4     09    0
PHILADELPHIA      2004  1     4     12    0.01
PHILADELPHIA      2004  1     4     13    0
PHILADELPHIA      2004  1     4     18    0
PHILADELPHIA      2004  1     4     19    0.02
PHILADELPHIA      2004  1     4     20    0.02
PHILADELPHIA      2004  1     4     21    0.01
PHILADELPHIA      2004  1     4     22    0
PHILADELPHIA      2004  1     5     05    0
PHILADELPHIA      2004  1     5     06    0
PHILADELPHIA      2004  1     5     07    0.03
PHILADELPHIA      2004  1     5     08    0.02
PHILADELPHIA      2004  1     5     09    0.01
PHILADELPHIA      2004  1     5     10    0.07
PHILADELPHIA      2004  1     5     11    0.08
PHILADELPHIA      2004  1     5     12    0.07
PHILADELPHIA      2004  1     5     13    0.03
PHILADELPHIA      2004  1     5     14    0
PHILADELPHIA      2004  1     5     15    0.01
PHILADELPHIA      2004  1     5     16    0.01
PHILADELPHIA      2004  1     5     17    0.01
PHILADELPHIA      2004  1     9     10    0
PHILADELPHIA      2004  1     11    23    0
PHILADELPHIA      2004  1     12    16    0
PHILADELPHIA      2004  1     12    17    0
PHILADELPHIA      2004  1     12    18    0
PHILADELPHIA      2004  1     12    19    0
PHILADELPHIA      2004  1     14    20    0
PHILADELPHIA      2004  1     14    23    0
PHILADELPHIA      2004  1     15    00    0
PHILADELPHIA      2004  1     15    01    0.01
PHILADELPHIA      2004  1     15    02    0.01
PHILADELPHIA      2004  1     15    03    0.02
PHILADELPHIA      2004  1     15    04    0.01
PHILADELPHIA      2004  1     15    05    0
PHILADELPHIA      2004  1     15    06    0
PHILADELPHIA      2004  1     15    08    0
PHILADELPHIA      2004  1     15    09    0
PHILADELPHIA      2004  1     15    10    0
PHILADELPHIA      2004  1     17    20    0
PHILADELPHIA      2004  1     17    21    0
PHILADELPHIA      2004  1     17    22    0
PHILADELPHIA      2004  1     17    23    0.02
